site,date,observer,transect,start_time,end_time,temp_C,wind,wind2,sky,floral_visitor_ID,MoreSpecificID,plant_visiting,num_individuals ,notes,temp_F,month,year,temp_Crounded
Mesa Harmony,3/17/2021,Gaby,2,1139,1149,14,0,,clear,Fly,Looked like Syrphid,Salvia rosmarinus,1,,57,3,2021,14
Mesa Harmony,3/17/2021,Gaby,1,1151,1201,14,0,,clear,HB,Apis mellifera,Sedum sp.,1,,57,3,2021,14
Mesa Harmony,3/17/2021,Gaby,1,1151,1201,14,0,,clear,HB,Apis mellifera,Lavandula stoechas,3,,57,3,2021,14
Mesa Harmony,3/17/2021,Gaby,2,1202,1212,14,0,,clear,HB,Apis mellifera,Salvia rosmarinus,8,,57,3,2021,14
Mesa Harmony,3/17/2021,Gaby,2,1202,1212,14,0,,clear,Fly,Looked like Syrphid,Salvia rosmarinus,1,,57,3,2021,14
SBCC,3/17/2021,Gaby,1,1258,1303,14,0,,clear,HB,Apis mellifera,Borago officinalis,2,,57,3,2021,14
SBCC,3/17/2021,Gaby,1,1258,1303,14,0,,clear,Bumble,,Borago officinalis,1,,57,3,2021,14
SBCC,3/17/2021,Gaby,1,1258,1303,14,0,,clear,HB,Apis mellifera,Ocimum kilimandscharicum x basilicum,3,Ocimum kilimandscharicum x basilicum 'Dark Opal',57,3,2021,14
SBCC,3/17/2021,Gaby,2,1305,1310,14,0,,clear,HB,Apis mellifera,Salvia leucophylla,2,,57,3,2021,14
SBCC,3/17/2021,Gaby,2,1305,1310,14,0,,clear,Fly,,Unkown Purple,1,,57,3,2021,14
SBCC,3/17/2021,Gaby,3,1313,1318,14,0,,clear,HB,Apis mellifera,Ocimum kilimandscharicum x basilicum,3,Ocimum kilimandscharicum x basilicum 'Dark Opal',57,3,2021,14
SBCC,3/17/2021,Gaby,3,1313,1318,14,0,,clear,HB,Apis mellifera,Ceanothus sp.,5,,57,3,2021,14
SBCC,3/17/2021,Gaby,3,1313,1318,14,0,,clear,HB,Apis mellifera,Borago officinalis,2,,57,3,2021,14
SBCC,3/17/2021,Gaby,4,1320,1325,14,0,,clear,HB,Apis mellifera,Prunus ilicifolia ssp. lyonii,2,,57,3,2021,14
SBCC,3/17/2021,Gaby,1,1331,1336,14,0,,clear,Bumble,,Borago officinalis,2,,57,3,2021,14
SBCC,3/17/2021,Gaby,1,1331,1336,14,0,,clear,HB,Apis mellifera,Borago officinalis,6,,57,3,2021,14
SBCC,3/17/2021,Gaby,1,1331,1336,14,0,,clear,HB,Apis mellifera,Ocimum kilimandscharicum x basilicum,3,Ocimum kilimandscharicum x basilicum 'Dark Opal',57,3,2021,14
SBCC,3/17/2021,Gaby,2,1337,1342,14,0,,clear,HB,Apis mellifera,Salvia leucophylla,2,,57,3,2021,14
